Column2,Year Level,Block No.,Curriculum Type,HOME ADDRESS: Please enter the name of your PROVINCE,GENDER,birthday,civil_status,No_of_siblings,place_in_the_family,Island Location (Where are you NOW?),Are you a TES Beneficiary?,Do you own a laptop?,Please skip this question if you own a laptop.  Do you  have someone that lets you borrow his/her laptop?,Is you MOBILE PHONE touch screen?,How is your internet connection in your place?,1. How did you  feel when you learned that instruction would no longer be face-to-face? Please check all that apply.,2. Why did you feel that way?,3. What were your expectations about Blended Learning before it started. Please check all that apply.,"1.	How satisfied are you with the learning you get from our blended learning mode of instruction during the 1st semester? ","2.	How satisfied are you with the assessments given (exercises, assignments, quizzes) to gauge or measure your learning of the lessons?",3. Did ALL your subject teachers provide you with MODULES last semester?,4. How clear were the presentation of your lessons in your modules last semester? Was it easy to follow?,"5.	Which do you prefer MORE in studying? ","6.	At AVERAGE, how many days a week were you required to be online in a particular subject?","7.	Did ALL your subject teachers provide you with videos, powerpoint presentations, and other learning tools that reinforce learning last semester? ","8.	How helpful were these videos, powerpoint presentations, and other learning tools in enhancing your understanding of your lessons? ","9.	Did ALL your subject teachers provide you feedbacks on your performance of exercises, assignments or quizzes?","10.	At average, how long did it take your teachers to provide you with feedback on your exercises, assignments or quizzes? ","11.	Did ALL your subject teachers last semester gave time to ask you if you have questions about the lesson and answer you back?",12. Which of the 5 areas below is your TOP 1 for IMPROVEMENT?,13. Which of the 5 areas below is your 2nd PRIORITY for IMPROVEMENT?,14. Which of the 5 areas below is your 3rd PRIORITY for IMPROVEMENT?,15. Which of the 5 areas below is your 4th PRIORITY for IMPROVEMENT?
70,2nd Year,4,Old,Romblon,Female,3/2/2001,Single,8,5th,Tablas Island,No,No,No,Yes,3,Sad / Disappointed,Difficult for me,Entirely no Face-to-Face,3,3,Yes,4,A SOFTCOPY of your module,2,Yes,3,Yes,1,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,Module Content and Presentation
71,1st year,7,New,Romblon,Male,11/29/2000,Single,1,2nd,Tablas Island,No,No,Yes,Yes,3,Happy / Excited,I feel happy/excited because there is no cost ,A hardcopy of the module would be distributed to all students,4,4,Yes,4,A SOFTCOPY of your module,2,Yes,4,Yes,3,Yes,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Module Content and Presentation
72,1st year,2,New,Romblon,Male,1/16/2002,Single,1,1st,Tablas Island,No,No,Yes,Yes,4,Did not feel anything,It's normal to have class. All I want is to graduate,A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject,3,3,Yes,4,A SOFTCOPY of your module,5,Yes,4,Yes,4,No,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation
73,2nd Year,1,New,Romblon,Female,9/2/2000,Single,2,3rd,Tablas Island,No,Yes,,Yes,3,Worried / Nervous,Because not all students have access to internet and it's hard to cope up with the major subjects.,Entirely no Face-to-Face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited,3,4,Yes,4,A HARCOPY of your module,2,Yes,4,No,2,Yes,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises
74,1st year,7,New,Romblon,Male,12/14/2001,Single,6,6th,Tablas Island,No,No,,Yes,3,Sad / Disappointed,Because I'm not satisfied that situation right now ,Module is the primary tool in learning,3,3,Yes,4,A SOFTCOPY of your module,3,Yes,3,Yes,3,Yes,Module Content and Presentation,Module Content and Presentation,Module Content and Presentation,Module Content and Presentation
75,1st year,1,New,Romblon,Male,5/30/2002,Single,4,3rd,Tablas Island,No,No,No,Yes,3,Worried / Nervous,Because i dont have enough gadgets and good quality of internet to join for example in google meet and i dont own a laptop,"Exercises, quizzes, and major examinations will be done online or face-to-face;A hardcopy of the module would be distributed to all students;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,No,3,A HARCOPY of your module,5,Yes,4,Yes,3,No,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises
76,1st year,2,New,Romblon,Male,11/11/2000,Single,2,2nd,Tablas Island,No,No,No,Yes,2,Sad / Disappointed,Kasi di ko masyado nakaka fucos kng ano ang topic,"Exercises, quizzes, and major examinations will be done online or face-to-face;A hardcopy of the module would be distributed to all students;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective",2,3,Yes,2,A HARCOPY of your module,3,No,3,Yes,3,Yes,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson
78,1st year,2,New,Romblon,Female,5/11/2002,Single,3,3rd,Tablas Island,No,No,Yes,Yes,4,Worried / Nervous,Because I don't know if it will have positive effect on gaining knowledge with just a module,"Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity",4,4,Yes,4,A SOFTCOPY of your module,4,Yes,5,Yes,4,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson
79,1st year,7,New,Romblon,Female,1/24/2001,Single,4,1st,Tablas Island,No,No,,Yes,1,Happy / Excited;Sad / Disappointed;Worried / Nervous;Did not feel anything,Because it is my first time ,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,3,A HARCOPY of your module,2,Yes,4,Yes,4,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
80,2nd Year,4,Old,Romblon,Female,3/31/2001,Single,3,1st,Sibuyan Island,No,Yes,,Yes,3,Sad / Disappointed,Because there's no excitement at all and it's hard to catch up the lessons ,Entirely no Face-to-Face,3,4,Yes,4,A HARCOPY of your module,4,Yes,4,Yes,3,Yes,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson
81,2nd Year,4,Old,Romblon,Male,1/10/2021,Single,3,3rd ,Sibuyan Island,No,No,No,Yes,3,Happy / Excited;Sad / Disappointed;Worried / Nervous;Did not feel anything,"Bored, Lack of Knowledge.","Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",4,4,Yes,4,A SOFTCOPY of your module,4,Yes,4,No,2,No,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
82,1st year,7,New,Romblon,Female,11/16/2001,Single,6,6th,Tablas Island,No,No,No,Yes,3,Worried / Nervous,Because im not sure if i can make it,Entirely no Face-to-Face,3,3,No,3,A HARCOPY of your module,3,Yes,3,Yes,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,Module Content and Presentation
83,3rd year,1,Old,Romblon,Male,10/23/1998,Single,3,2nd,Tablas Island,No,No,No,Yes,3,Happy / Excited,.beacause im interested in face to face,"Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject",3,4,Yes,4,A HARCOPY of your module,4,Yes,4,Yes,4,Yes,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
84,4th year,1,Old,Romblon,Male,5/29/1998,Single,6,5th,"Tres Islas (Banton, Sibale, Simara)",No,Yes,,Yes,4,Sad / Disappointed,Because I don’t quite understand the topics that teachers teach when online class,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,3,A SOFTCOPY of your module,3,Yes,3,Yes,1,Yes,Faculty & Student Online Discussion of Lesson,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
85,2nd Year,1,New,Romblon,Male,4/18/2001,Single,4,3rd,Tablas Island,No,No,Yes,Yes,3,Worried / Nervous,Because of low connection in internet,Internet connection is a necessity,4,4,Yes,4,A SOFTCOPY of your module,5,Yes,5,Yes,1,Yes,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
86,2nd Year,1,Old,Romblon,Female,6/29/2000,Single,7,7th,Tablas Island,No,No,Yes,Yes,3,Sad / Disappointed,Dahil ,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Internet connection is a necessity;Student and teacher interactions would be very limited",4,4,Yes,5,A HARCOPY of your module,3,Yes,5,Yes,1,Yes,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,Faculty & Student Online Discussion of Lesson
87,2nd Year,1,New,Romblon,Male,12/11/2000,Single,8,6th,"Romblon, Romblon",No,No,No,Yes,2,Sad / Disappointed,Because I prepare face to face class than online class,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,4,A HARCOPY of your module,1,Yes,4,Yes,1,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
88,4th year,3,Old,Romblon,Male,10/25/1997,Married,5,1st,Tablas Island,Yes,Yes,,Yes,2,Happy / Excited;Worried / Nervous,because I will be able to work while studying and earn,Entirely no Face-to-Face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;Student and teacher interactions would be very limited,3,2,Yes,3,A HARCOPY of your module,4,Yes,3,Yes,4,Yes,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson
89,1st year,7,New,Romblon,Male,9/11/1999,Single,3,2nd,"Tres Islas (Banton, Sibale, Simara)",No,No,,Yes,3,Sad / Disappointed;Did not feel anything,"I feel that way, for me it is better to haven't a  face to face someone explain to you if you do not understand the discussion of our teacher who will explain  I Know other students have difficult in understanding even there is a teacher speaking in front. That I will also struggle in my time because we are at home because our parents may not order us to do housework sometimes we have a family problem we do not know how we can solve our problems..",Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject,3,4,Yes,3,A SOFTCOPY of your module,3,Yes,5,Yes,5,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation
90,4th year,1,Old,Romblon,Female,12/26/1997,Single,5,1st,"Tres Islas (Banton, Sibale, Simara)",Yes,No,,Yes,5,Sad / Disappointed,Because the interaction of both teachers and students will be limited and that's is why I feel sad.,Student and teacher interactions would be very limited,4,4,Yes,5,A SOFTCOPY of your module,5,Yes,5,Yes,2,Yes,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
91,1st year,2,New,Romblon,Male,5/12/2000,Single,3,2nd,Tablas Island,No,Yes,,Yes,3,Happy / Excited,Because I hate human interaction,Entirely no Face-to-Face;Student and teacher interactions would be very limited,3,5,Yes,4,A SOFTCOPY of your module,5,No,5,Yes,1,No,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises
92,2nd Year,3,New,Romblon,Male,10/23/1999,Single,6,5th,Tablas Island,No,Yes,,Yes,3,"Maybe for me, its normal na rin namn ang online class, more of as just adjusted the new normal. ","I feeled that, it's okey for me had an online class in order us to keep safe, for the pandemic that we face right now.",Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited,3,4,Yes,4,A SOFTCOPY of your module,3,Yes,3,Yes,3,No,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
93,2nd Year,4,New,Romblon,Male,2/13/2001,Single,5,1st,Tablas Island,No,No,No,Yes,3,Sad / Disappointed,Im depending on the laboratory if there's activity,"Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Student and teacher interactions would be very limited",3,3,Yes,3,A SOFTCOPY of your module,3,Yes,3,No,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises,Module Content and Presentation
94,2nd Year,3,New,Romblon,Male,1/22/2001,Single,5,5th,Tablas Island,No,No,Yes,Yes,2,Worried / Nervous,Because learning would not be effective and also it limited interaction between students and teachers,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;Student and teacher interactions would be very limited",2,2,Yes,2,A HARCOPY of your module,2,Yes,3,Yes,4,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
95,2nd Year,3,Old,Romblon,Female,6/12/2021,Single,6,1st,Tablas Island,No,No,Yes,Yes,1,Happy / Excited,Feeling stressed sometimes,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject",5,5,Yes,3,A HARCOPY of your module,0,Yes,5,Yes,1,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
96,2nd Year,3,Old,Romblon,Female,9/26/2000,Single,6,5th,Tablas Island,No,No,No,Yes,2,Happy / Excited;Sad / Disappointed;Worried / Nervous;Did not feel anything,because of its advantages and disadvantages while having online class,"Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Student and teacher interactions would be very limited",3,3,Yes,4,A HARCOPY of your module,3,Yes,3,Yes,2,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
97,2nd Year,3,Old,Romblon,Female,10/3/2021,Single,9,7th,Tablas Island,No,No,Yes,Yes,4,Sad / Disappointed,Because it's hard to learn without teacher who teaches at.,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,4,A SOFTCOPY of your module,2,Yes,3,Yes,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
98,2nd Year,3,Old,Romblon,Female,8/15/2000,Single,4,4th,Tablas Island,No,No,Yes,Yes,3,Sad / Disappointed;Worried / Nervous,The students would rely only on the internet. Although the others will learned there own way but the others won't because lack of gadgets and financial to supply there needs,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited",4,4,Yes,4,A SOFTCOPY of your module,5,Yes,5,Yes,4,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
99,2nd Year,2,Old,Romblon,Female,4/25/2001,Single,7,3rd,"San Jose, Romblon",Yes,Yes,,Yes,4,Sad / Disappointed;Worried / Nervous,"I feel that way because , as an IT student I am very worried about what will be my performance in my ojt in terms of proper handling of computer system. ","Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",3,3,Yes,4,A HARCOPY of your module,2,Yes,5,Yes,4,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson
100,2nd Year,4,New,Romblon,Male,5/16/2000,Single,1,2nd,"Romblon, Romblon",No,Yes,,Yes,3,Nothing,I don't care,Entirely no Face-to-Face;A hardcopy of the module would be distributed to all students;Only a softcopy of the module would be distributed to students via email or messenger;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject,1,3,No,2,A HARCOPY of your module,3,No,3,No,2,No,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
101,2nd Year,2,New,Romblon,Male,11/29/2000,Single,2,1st,Tablas Island,No,No,No,Yes,3,Did not feel anything,I have a doubt,"Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited",3,4,Yes,4,A HARCOPY of your module,1,No,5,Yes,4,Yes,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation
102,3rd year,1,Old,Romblon,Male,11/28/1994,Single,7,4th,Tablas Island,Yes,No,Yes,Yes,3,Happy / Excited,Happy to know it,Only a softcopy of the module would be distributed to students via email or messenger,3,3,Yes,3,A SOFTCOPY of your module,2,Yes,3,Yes,3,Yes,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises
103,2nd Year,3,New,Romblon,Female,8/26/2000,Single,5,4th,Tablas Island,No,Yes,,Yes,3,Sad / Disappointed,Because if the we have doing anything with the use of internet connection and my signal is very weak I feel disappointed. It is big impact to me and to all students the weak connection ,Entirely no Face-to-Face,2,4,Yes,5,A HARCOPY of your module,2,Yes,5,Yes,3,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson
104,3rd year,2,Old,Romblon,Male,7/23/1996,Single,5,3rd,Tablas Island,No,No,,Yes,3,Did not feel anything,Nothing,"Exercises, quizzes, and major examinations will be done online or face-to-face",3,3,Yes,3,A SOFTCOPY of your module,3,Yes,3,Yes,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson,Faculty & Student Online Discussion of Lesson
105,3rd year,1,Old,Romblon,Female,12/5/1998,Single,10,10th,"Tres Islas (Banton, Sibale, Simara)",No,No,Yes,Yes,2,Sad / Disappointed,Difficult,Student and teacher interactions would be very limited,3,3,Yes,4,A SOFTCOPY of your module,4,Yes,3,Yes,4,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools"
106,3rd year,2,Old,Romblon,Male,6/12/1999,Single,4,2nd,Tablas Island,No,Yes,,Yes,3,Sad / Disappointed,Because it's better with face to face,Entirely no Face-to-Face;Internet connection is a necessity;Student and teacher interactions would be very limited,3,3,Yes,3,A SOFTCOPY of your module,1,Yes,4,Yes,3,Yes,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools"
107,2nd Year,3,New,Romblon,Male,12/12/1999,Single,5,1st,Tablas Island,No,No,,Yes,1,Worried / Nervous,Ang hina po kasi nang internet connection dito samin,A hardcopy of the module would be distributed to all students;Internet connection is a necessity,3,3,Yes,3,A HARCOPY of your module,3,Yes,3,Yes,3,Yes,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises
108,2nd Year,2,Old,Romblon,Female,2/4/2000,Single,4,1st,"San Jose, Romblon",No,No,No,Yes,3,Sad / Disappointed, because I feel that it's hard to understand the lessons that I will Incounter through online and also I think we're I'm going to get  the gadgets that I'm gonna used.  ,A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject,3,3,Yes,4,A HARCOPY of your module,3,Yes,5,Yes,4,Yes,Module Content and Presentation,Faculty & Student Online Discussion of Lesson,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises
109,1st year,3,New,Romblon,Male,2/22/2002,Single,3,5th,Tablas Island,No,Yes,,Yes,1,Sad / Disappointed,Because there is no face to face classes,"Exercises, quizzes, and major examinations will be done online or face-to-face;Student and teacher interactions would be very limited",4,2,Yes,2,A SOFTCOPY of your module,3,Yes,3,Yes,2,Yes,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson
110,2nd Year,2,New,Romblon,Male,10/26/1999,Single,3,1st,Tablas Island,No,No,No,Yes,1,Worried / Nervous,Because I'm not better in online classes that's why I prefer face to face classes to better understand the lesson,"Exercises, quizzes, and major examinations will be done online or face-to-face;A hardcopy of the module would be distributed to all students;Internet connection is a necessity;Learning would not be that effective;Student and teacher interactions would be very limited",1,1,Yes,1,A HARCOPY of your module,3,No,3,No,3,Yes,Faculty & Student Online Discussion of Lesson,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty Feedback on Quizzes / Assignments / Exercises
111,1st year,2,New,Oriental Mindoro,Male,12/28/2001,Single,7,2nd,Mindoro,No,No,Yes,Yes,4,Did not feel anything,It doesn't matter to me either way.,"Exercises, quizzes, and major examinations will be done online or face-to-face;Only a softcopy of the module would be distributed to students via email or messenger;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited",3,4,Yes,3,A SOFTCOPY of your module,4,Yes,4,Yes,2,Yes,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Module Content and Presentation,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)",Faculty & Student Online Discussion of Lesson
112,2nd Year,4,New,Romblon,Female,4/11/2001,Single,4,4th,Tablas Island,No,Yes,,Yes,2,Sad / Disappointed;Worried / Nervous,I'm thinking that it will be hard for me and to other students as well especially to those who doesn't have a strong internet connection at home.,Entirely no Face-to-Face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Learning would not be that effective;Student and teacher interactions would be very limited,2,3,Yes,3,A SOFTCOPY of your module,3,No,3,No,5,Yes,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools",Faculty & Student Online Discussion of Lesson,Faculty Feedback on Quizzes / Assignments / Exercises
113,3rd year,1,Old,Oriental Mindoro,Male,8/11/1996,Single,2,1st,Tablas Island,No,No,No,Yes,3,Sad / Disappointed,Because no longer face to face.,"Entirely no Face-to-Face;Exercises, quizzes, and major examinations will be done online or face-to-face;Module is the primary tool in learning;Only a softcopy of the module would be distributed to students via email or messenger;Internet connection is a necessity;A mobile phone or a laptop that can connect to the internet is a requirement to pass the subject;Assessment of student performance will not be that reliable;Learning would not be that effective;Student and teacher interactions would be very limited",4,4,Yes,4,A HARCOPY of your module,3,Yes,4,Yes,4,Yes,Faculty & Student Online Discussion of Lesson,Module Content and Presentation,"Delivery / Use of Videos, PowerPoint, and other Learning Tools","Methods Used to Assess Learning (Quizzes, Assignments, etc.)"
114,2nd Year,4,New,Romblon,Male,4/19/1999,Single,6,4th,Tablas Island,No,No,No,Yes,2,Worried / Nervous,I am worried how to passed all the subject,Learning would not be that effective,3,3,Yes,3,A HARCOPY of your module,0,Yes,3,No,3,Yes,Module Content and Presentation,Faculty Feedback on Quizzes / Assignments / Exercises,"Methods Used to Assess Learning (Quizzes, Assignments, etc.)","Delivery / Use of Videos, PowerPoint, and other Learning Tools"
